text_en,text_tfidf
"Please help!
After several complaints, BBMP workers clearing the garbage, this garbage pile issue has not resolved. I request for a permanent solution. I wish I could send a sample of the disgusting smell . It’s become impossible to live here. Please take action with the plot owner",please help several complaint bbmp worker clearing garbage garbage pile issue resolved request permanent solution wish could send sample disgusting smell become impossible live please take action plot owner
More than 6 Stray dogs are attacking and blocking our gates and footpaths residents are unable to walk,stray dog attacking blocking gate footpath resident unable walk
"Hi Sir,

This layout roads are completely digged for kaveri water connection but after fixing underground pipes they closed but didn't put tarr road. Now more than 6 months passed but till the date the roads didn't get tarr.",sir layout road completely digged kaveri water connection fixing underground pipe closed put tarr road month passed till date road get tarr
Pot holes in wind tunnel road causing traffic jam and danger to passengers,pot hole wind tunnel road causing traffic jam danger passenger
"ShreeRaj enclave site no. 4 has become a dumping ground for residents of the road. Though there is a garbage pickup vehicle coming on a daily basis, but people are dumping garbage here.
Request you to plz take necessary action to cleanup and avoid further dumping of the garbage from becoming breading ground for Malaria insects.",shreeraj enclave site become dumping ground resident road though garbage pickup vehicle coming daily basis people dumping garbage request plz take necessary action cleanup avoid dumping garbage becoming breading ground malaria insect
"There are around 8-10 dogs always on the road and during nighttime, they crowd and scare people. And they keep barking in the middle of the night.",around dog always road nighttime crowd scare people keep barking middle night
The street light isn't working for a couple of weeks now and needs to be fixed.,street light working couple week need fixed
There are bout 15 to 20 stray dogs attacking 2 wheelers and kids playing in street. They fight themselves so bad that they killed 1 dog by biting. This could happen to the kids as well playing on the street. Please take necessary actions,bout stray dog attacking wheeler kid playing street fight bad killed dog biting could happen kid well playing street please take necessary action
"This is the state of the one of the busiest road in BTM 2nd stage, 29th main road. please repair ASAP. 
this is opposite to Flutterbows design studio. opposite to house number 12. 
please fix it ASAP",state one busiest road btm stage main road please repair asap opposite flutterbows design studio opposite house number please fix asap
"Of-late garbage is being dumped daily on this site. 
The plot is being used for open urination/defecation also. 
In night the garbage dump is set on Fire casing smog.",late garbage dumped daily site plot used open urination defecation also night garbage dump set fire casing smog
Can the concerned authorities place a barricade near Bescom office near HAL main gate? Lot of bikers takes the platform to avoid traffic at HAL signal.,concerned authority place barricade near bescom office near hal main gate lot bikers take platform avoid traffic hal signal
Road condition is so pathetic ??. One wayVehicles have to wait till the other vehicles empty the road. Pedstrains cannot even walk on these roads,road condition pathetic one wayvehicles wait till vehicle empty road pedstrains cannot even walk road
"Everyday it is a great in the quarterz due to dogs.It also bites shoes and slippers. Barks on known people,Kids cannot come outside .They have to be shifted and really annoying.We are unable to maintain hygiene..Please help.Thank you
address 13th main 1st cross btm 1st stage madivala bangalore 560068",everyday great quarterz due dog also bite shoe slipper bark known people kid cannot come outside shifted really annoying unable maintain hygiene please help thank address main cross btm stage madivala bangalore
"Only half road is available for driving - Road towards RMZ Eco world
Road dug up and not patched. Vehicles get parked in half of the road.
Please do patch/new road immediataely",half road available driving road towards rmz eco world road dug patched vehicle get parked half road please patch new road immediataely
Borewell waterpipe is damaged and due to which fresh useable water is getting wasted on road and that water is passing through sewage. Nobody has taken action till date after raising several complaints to respective corporator. It is not been rectified and solved since long time and nearby residential people are really upset.,borewell waterpipe damaged due fresh useable water getting wasted road water passing sewage nobody taken action till date raising several complaint respective corporator rectified solved since long time nearby residential people really upset
Sudden power cut at 2 AM. Is this a torture?,sudden power cut torture
There are sparks continuously coming out from this electric pole at popular hospital,spark continuously coming electric pole popular hospital
The garbage is being dumped in the vacant land in front of my home by a few neighbours. The bbmp van comes every morning and yet few ppl don't put the waste to them. The yard is becoming Very smelly and misquotes have started to fly. Please take action and find the PPL who dump garbage irresponsiblly.,garbage dumped vacant land front home neighbour bbmp van come every morning yet ppl put waste yard becoming smelly misquote started fly please take action find ppl dump garbage irresponsiblly
"We have submitted application for tree in dangerous condition,  no one has attended still. 
It's been 2 months. Written complaint has been given to BBMP tree officer, no one has attended still. Attached is the application. 
They have closed in bbmp sahya app without solving",submitted application tree dangerous condition one attended still month written complaint given bbmp tree officer one attended still attached application closed bbmp sahya app without solving
Garbage being dumped next to residence on the empty site,garbage dumped next residence empty site
"There is no storm water drain at site 42, 7th Street in bank avenue colony. kindly address this",storm water drain site street bank avenue colony kindly address
The TendureSure project started a long time ago on Siddaiah Puranik road but there is no work happening now and no signs of completing the unfinished work. The road is in a very bad shape and no one has taken any accountability on this project. When is this work going to be complete ?,tenduresure project started long time ago siddaiah puranik road work happening sign completing unfinished work road bad shape one taken accountability project work going complete
"Hi team, 

I stay at  kpc layout, Kasavanahalli main road exact location was marked above.

Its been couple of months they have started with underground drainage work and need to complete the road work. But it was stopped in the middle. 

Local govt. authorities also visited but even after no change.

We waited enough but daily i can see atleast 5-10 bikers are falling down because of slippery and muddy road.

So after researching i got your site to raise voice.
Kindly do needful to get this sorted.",team stay kpc layout kasavanahalli main road exact location marked couple month started underground drainage work need complete road work stopped middle local govt authority also visited even change waited enough daily see atleast bikers falling slippery muddy road researching got site raise voice kindly needful get sorted
"It’s been 24 hours since our building lost power.
I call Bescom
They don’t do anything
Finally I get a call back and I get a number of a guy called Vasant
And he gives me a number to call so those ppl can come to our building and take care of things
And when I call that number
They casually disconnect the call laughing
Plz help me how I can file a complaint against these people.",hour since building lost power call bescom anything finally get call back get number guy called vasant give number call ppl come building take care thing call number casually disconnect call laughing plz help file complaint people
"New Thippasandra Market footpath has been encroached by shopkeepers, vegetable and fruit vendors This has created nuisance and health hazard for the elderly and kids, since most of the time they need to walk in the road Please take necessary action to remove the encroachment.",new thippasandra market footpath encroached shopkeeper vegetable fruit vendor created nuisance health hazard elderly kid since time need walk road please take necessary action remove encroachment
"3rd Main Road, Palace Guttahalli has become nightmare for pedestrians and public. Cable Wires are lying on road from almost more than a month. Every 10 mtrs there is pothole, road digging don't for water supply work and post that it is not covered up properly. Kindly address this issue on priority and get it resolved at earliest",main road palace guttahalli become nightmare pedestrian public cable wire lying road almost month every mtrs pothole road digging water supply work post covered properly kindly address issue priority get resolved earliest
Garbage dump on Chunchunkatta Main Road near Kiran Medical. This garbage dump is hazardous to stray cows. Please remove this garbage.,garbage dump chunchunkatta main road near kiran medical garbage dump hazardous stray cow please remove garbage
Totally dumped to the road nobody can take the vehicle out if asked to the owner he is telling me to complain to the authority,totally dumped road nobody take vehicle asked owner telling complain authority
In my area..road is not at all there..driveway is in pathetic situation..please construct the road,area road driveway pathetic situation please construct road
This is how the road in front of my house looks and it's been like this for close to a month and this is after bwssb dug up the road. Can someone help in making this road motorable,road front house look like close month bwssb dug road someone help making road motorable
"Sewage is leaking for the past 1 month from the house belonging to Mr. Jai Shanker 21st Main, 8th Cross, (3rd house on the left) Egipura, Viveknagar P.O. Bangalore. 

There are worms, fly and sting emitting from the Sewage. Repeated calls to the owner has gone to deaf ears. Children and elderly people at home are getting sick. 
I request the concerned authorities to do the needful.",sewage leaking past month house belonging jai shanker main cross house left egipura viveknagar bangalore worm fly sting emitting sewage repeated call owner gone deaf ear child elderly people home getting sick request concerned authority needful
"Hi,
Yesterday garbage has been plucked from the vacant site and throwed on the existing wall/cars as enclosed.I request to please clear the garbage from as rats can enter from the thrown garbage to the cars.
Regards,
Sudheer",yesterday garbage plucked vacant site throwed existing wall car enclosed request please clear garbage rat enter thrown garbage car regard sudheer
There is no street light or not working in goshala road (behind Accenture L shape. After Udupi hotel. Do help,street light working goshala road behind accenture shape udupi hotel help
There are have multiple accidents due to bad condition of road and lack of speed breakers on the silver county road,multiple accident due bad condition road lack speed breaker silver county road
"13th main road, M.C.Layout, Vijayanagar 
The condition of this road is very bad, there’s a large pit hole just in front of my house and the road has not been tarred from such a long time.. please do the needful at the earliest",main road layout vijayanagar condition road bad large pit hole front house road tarred long time please needful earliest
Drainage expansion works started more than 45 days ago. The work is progressing very slowly. We are unable to use our vehicles & are forced to spend on public transportation like autos and cabs.,drainage expansion work started day ago work progressing slowly unable use vehicle forced spend public transportation like auto cab
Construction work is going on since last many years by bbmp and all road are dug and blocked. there is only one narrow road which is also dug on sides is the only option to get into the main road. the entire area was dug due to laying out sewage lines but roads are in real bad condition and prone to accident. some part of area is totally kachcha. People can bear this trouble for a short time and this has been going on for years now,construction work going since last many year bbmp road dug blocked one narrow road also dug side option get main road entire area dug due laying sewage line road real bad condition prone accident part area totally kachcha people bear trouble short time going year
"There are lots of stray dogs in this area, very scary at night.... Since they jump on all Posible bikes and cars",lot stray dog area scary night since jump posible bike car
Sewage line opposite to our apartment is started overflowing and need cleaning,sewage line opposite apartment started overflowing need cleaning
The whole 14th cross road is filled with several overflowing garbage dumpsters with trash all over the road. It also has several potholes on the road with no view to what is underneath the potholes posing a threat to the people walking on the road.,whole cross road filled several overflowing garbage dumpster trash road also several pothole road view underneath pothole posing threat people walking road
"There has been a commercial complex construction going on for a few months nearby . They are always making lot of noise either hammering or welding . Recently they started pouring concrete by bringing in the stetters , they start their work as early as 5 in the morning. This being a resedential neighbourhood , how can people sleep if they start making such loud noises ? I urge the authorities to look into the issue.",commercial complex construction going month nearby always making lot noise either hammering welding recently started pouring concrete bringing stetters start work early morning resedential neighbourhood people sleep start making loud noise urge authority look issue
"The raods are in very bad condition in entire kalkere/horamovu/ramamurthy nagar area. This is the condition since more than a year, and there is no repair work. Roads are dug and left in worse condition making commute very difficult within the area.",raods bad condition entire kalkere horamovu ramamurthy nagar area condition since year repair work road dug left worse condition making commute difficult within area
2 concrete pipelines to be removed and road requires repaired after installation of new pipeline...,concrete pipeline removed road requires repaired installation new pipeline
"The main road in tirumanahalli is  not  constructed since long time , no foothpath , no drainage , the road is filled with dust and mud, manholess in every part,  
This is a highly crowded area with students around the country and foreign , two big institutes knsit and karnataka college  is just a walk away , the roads are in very bad condition, hope to get resolved asap. 
Thank-you . ?? ???????.",main road tirumanahalli constructed since long time foothpath drainage road filled dust mud manholess every part highly crowded area student around country foreign two big institute knsit karnataka college walk away road bad condition hope get resolved asap thank
There are no street lights switched on between K R road and Sajjan Rao Circle on S. S. temple Street. Earlier lights were there but since 3 days all lights are off. it is pitch dark between Medlife hospital and Subramanian Swamy Temple. it's a very scary road for pedestrians after sunset. there have been reporte of chain snatching earlier due to this,street light switched road sajjan rao circle temple street earlier light since day light pitch dark medlife hospital subramanian swamy temple scary road pedestrian sunset reporte chain snatching earlier due
